Date,Open,High,Low,Close,Volume,Adj Close
2012-09-28,678.75,681.11,666.75,667.10,19111100,667.10
2012-10-01,671.16,676.75,656.50,659.39,19414100,659.39
2012-10-02,661.81,666.35,650.65,661.31,22428300,661.31
2012-10-03,664.86,671.86,662.63,671.45,15152900,671.45
2012-10-04,671.25,674.25,665.55,666.80,13240200,666.80
2012-10-05,665.20,666.00,651.28,652.59,21214500,652.59
2012-10-08,646.88,647.56,636.11,638.17,22785500,638.17
2012-10-09,638.65,640.49,623.55,635.85,29949900,635.85
2012-10-10,639.74,644.98,637.00,640.91,18227000,640.91
2012-10-11,646.50,647.20,628.10,628.10,19502900,628.10
2012-10-12,629.56,635.38,625.30,629.71,16429100,629.71
2012-10-15,632.35,635.13,623.85,634.76,15446500,634.76
2012-10-16,635.37,650.30,631.00,649.79,19634700,649.79
2012-10-17,648.87,652.79,644.00,644.61,13894200,644.61
2012-10-18,639.59,642.06,630.00,632.64,17022300,632.64
2012-10-19,631.05,631.77,609.62,609.84,26574500,609.84
2012-10-22,612.42,635.38,610.76,634.03,19526100,634.03
2012-10-23,631.00,633.90,611.70,613.36,25255200,613.36
2012-10-24,621.44,626.55,610.64,616.83,19947400,616.83
2012-10-25,620.00,622.00,605.55,609.54,23440200,609.54
2012-10-26,609.43,614.00,591.00,604.00,36372600,604.00
2012-10-31,594.88,601.96,587.70,595.32,18214400,595.32
2012-11-01,598.22,603.00,594.17,596.54,12903500,596.54
2012-11-02,595.89,596.95,574.75,576.80,21395300,576.80
2012-11-05,583.52,587.77,577.60,584.62,18897700,584.62
